Date,stepstone,indeed,jobbörse,arbeitsamt,bewerbung
2015-01-04,78.0,74.0,86.0,49.0,75.0
2015-01-11,82.0,85.0,83.0,54.0,84.0
2015-01-18,80.0,90.0,86.0,50.0,82.0
2015-01-25,78.0,100.0,81.0,48.0,77.0
2015-02-01,83.0,100.0,85.0,48.0,76.0
2015-02-08,80.0,96.0,81.0,45.0,74.0
2015-02-15,81.0,92.0,81.0,63.0,73.0
2015-02-22,82.0,91.0,89.0,70.0,76.0
2015-03-01,80.0,89.0,82.0,70.0,70.0
2015-03-08,83.0,93.0,84.0,64.0,68.0
2015-03-15,78.0,90.0,81.0,64.0,65.0
2015-03-22,77.0,87.0,84.0,64.0,63.0
2015-03-29,70.0,77.0,63.0,61.0,55.0
2015-04-05,72.0,82.0,67.0,51.0,55.0
2015-04-12,76.0,88.0,77.0,51.0,62.0
2015-04-19,76.0,85.0,81.0,56.0,62.0
2015-04-26,69.0,76.0,63.0,43.0,60.0
2015-05-03,73.0,81.0,73.0,45.0,64.0
2015-05-10,66.0,82.0,63.0,34.0,60.0
2015-05-17,74.0,84.0,75.0,44.0,70.0
2015-05-24,70.0,80.0,71.0,41.0,64.0
2015-05-31,70.0,80.0,68.0,38.0,66.0
2015-06-07,78.0,80.0,78.0,42.0,68.0
2015-06-14,74.0,86.0,75.0,47.0,75.0
2015-06-21,76.0,82.0,71.0,47.0,83.0
2015-06-28,69.0,80.0,68.0,45.0,78.0
2015-07-05,73.0,83.0,74.0,44.0,94.0
2015-07-12,75.0,85.0,77.0,48.0,87.0
2015-07-19,75.0,82.0,74.0,58.0,67.0
2015-07-26,79.0,86.0,68.0,62.0,68.0
2015-08-02,68.0,88.0,67.0,52.0,65.0
2015-08-09,67.0,79.0,72.0,52.0,66.0
2015-08-16,71.0,81.0,70.0,56.0,68.0
2015-08-23,70.0,81.0,74.0,55.0,70.0
2015-08-30,77.0,82.0,83.0,57.0,69.0
2015-09-06,70.0,87.0,80.0,48.0,68.0
2015-09-13,72.0,81.0,79.0,47.0,72.0
2015-09-20,70.0,82.0,81.0,42.0,71.0
2015-09-27,72.0,89.0,78.0,49.0,68.0
2015-10-04,76.0,88.0,80.0,41.0,65.0
2015-10-11,70.0,92.0,79.0,40.0,67.0
2015-10-18,71.0,90.0,75.0,39.0,65.0
2015-10-25,66.0,86.0,79.0,43.0,67.0
2015-11-01,71.0,92.0,83.0,42.0,64.0
2015-11-08,69.0,92.0,80.0,43.0,64.0
2015-11-15,72.0,88.0,76.0,39.0,63.0
2015-11-22,63.0,83.0,65.0,37.0,61.0
2015-11-29,63.0,82.0,62.0,45.0,59.0
2015-12-06,62.34939759036145,83.58823529411764,61.24719101123595,39.65217391304348,56.417910447761194
2015-12-13,58.19277108433735,71.6470588235294,55.92134831460674,36.869565217391305,52.65671641791045
2015-12-20,37.40963855421687,52.88235294117647,37.28089887640449,27.82608695652174,28.208955223880597
2015-12-27,53.204819277108435,56.29411764705882,37.28089887640449,29.217391304347824,33.85074626865672
2016-01-03,70.66265060240964,73.35294117647058,53.258426966292134,43.826086956521735,67.70149253731344
2016-01-10,69.83132530120481,81.88235294117646,54.146067415730336,45.91304347826087,75.22388059701493
2016-01-17,67.33734939759036,85.29411764705883,54.146067415730336,46.608695652173914,67.70149253731344
2016-01-24,64.8433734939759,80.17647058823529,55.03370786516854,48.69565217391304,69.58208955223881
2016-01-31,74.81927710843374,92.11764705882352,55.03370786516854,45.91304347826087,70.5223880597015
2016-02-07,72.32530120481928,83.58823529411764,55.03370786516854,42.43478260869565,65.82089552238806
2016-02-14,69.0,83.58823529411764,55.03370786516854,45.21739130434783,71.46268656716418
2016-02-21,66.50602409638554,83.58823529411764,54.146067415730336,52.17391304347826,73.34328358208955
2016-02-28,64.8433734939759,87.0,56.80898876404494,53.565217391304344,68.64179104477613
2016-03-06,70.66265060240964,80.17647058823529,53.258426966292134,51.47826086956522,66.76119402985076
2016-03-13,64.01204819277109,80.17647058823529,58.58426966292134,45.91304347826087,62.059701492537314
2016-03-20,57.36144578313253,78.47058823529412,47.93258426966292,36.17391304347826,56.417910447761194
2016-03-27,55.69879518072289,76.76470588235294,52.37078651685393,41.73913043478261,56.417910447761194
2016-04-03,59.855421686746986,75.05882352941177,55.92134831460674,42.43478260869565,62.059701492537314
2016-04-10,56.53012048192771,76.76470588235294,56.80898876404494,38.95652173913044,63.94029850746269
2016-04-17,59.855421686746986,76.76470588235294,52.37078651685393,41.73913043478261,65.82089552238806
2016-04-24,57.36144578313253,73.35294117647058,47.93258426966292,41.73913043478261,63.0
2016-05-01,46.55421686746988,68.23529411764706,41.7191011235955,34.78260869565217,56.417910447761194
2016-05-08,54.036144578313255,78.47058823529412,47.04494382022472,38.26086956521739,63.94029850746269
2016-05-15,51.54216867469879,69.94117647058823,43.49438202247191,35.47826086956522,59.23880597014926
2016-05-22,48.21686746987952,73.35294117647058,45.26966292134831,36.17391304347826,63.94029850746269
2016-05-29,53.204819277108435,75.05882352941177,48.82022471910112,43.826086956521735,65.82089552238806
2016-06-05,47.3855421686747,73.35294117647058,43.49438202247191,35.47826086956522,63.0
2016-06-12,53.204819277108435,71.6470588235294,45.26966292134831,38.95652173913044,63.0
2016-06-19,48.21686746987952,76.76470588235294,45.26966292134831,38.26086956521739,64.88059701492537
2016-06-26,47.3855421686747,73.35294117647058,44.38202247191011,47.30434782608695,68.64179104477613
2016-07-03,50.71084337349398,73.35294117647058,46.157303370786515,45.21739130434783,75.22388059701493
2016-07-10,49.04819277108434,69.94117647058823,43.49438202247191,42.43478260869565,81.80597014925374
2016-07-17,48.21686746987952,71.6470588235294,43.49438202247191,42.43478260869565,56.417910447761194
2016-07-24,50.71084337349398,71.6470588235294,46.157303370786515,48.69565217391304,60.17910447761194
2016-07-31,50.71084337349398,75.05882352941177,50.59550561797752,46.608695652173914,64.88059701492537
2016-08-07,49.87951807228916,76.76470588235294,48.82022471910112,39.65217391304348,62.059701492537314
2016-08-14,49.04819277108434,83.58823529411764,47.93258426966292,41.73913043478261,59.23880597014926
2016-08-21,49.87951807228916,87.0,47.04494382022472,37.565217391304344,63.0
2016-08-28,53.204819277108435,83.58823529411764,46.157303370786515,45.91304347826087,69.58208955223881
2016-09-04,52.373493975903614,80.17647058823529,45.26966292134831,39.65217391304348,68.64179104477613
2016-09-11,53.204819277108435,75.05882352941177,44.38202247191011,41.04347826086956,65.82089552238806
2016-09-18,52.373493975903614,76.76470588235294,44.38202247191011,38.26086956521739,67.70149253731344
2016-09-25,51.54216867469879,81.88235294117646,41.7191011235955,47.30434782608695,62.059701492537314
2016-10-02,48.21686746987952,75.05882352941177,39.056179775280896,36.869565217391305,54.53731343283582
2016-10-09,52.373493975903614,78.47058823529412,40.8314606741573,41.04347826086956,60.17910447761194
2016-10-16,51.54216867469879,80.17647058823529,41.7191011235955,38.95652173913044,58.29850746268657
2016-10-23,52.373493975903614,85.29411764705883,41.7191011235955,43.130434782608695,60.17910447761194
2016-10-30,52.373493975903614,81.88235294117646,39.9438202247191,38.26086956521739,54.53731343283582
2016-11-06,52.373493975903614,81.88235294117646,41.7191011235955,42.43478260869565,54.53731343283582
2016-11-13,53.204819277108435,92.11764705882352,42.6067415730337,43.826086956521735,58.29850746268657
2016-11-20,50.71084337349398,75.05882352941177,40.8314606741573,41.73913043478261,54.53731343283582
2016-11-27,52.373493975903614,75.05882352941177,39.9438202247191,45.91304347826087,50.776119402985074
2016-12-04,50.71084337349398,73.35294117647058,39.056179775280896,42.43478260869565,56.417910447761194
2016-12-11,44.89156626506024,68.23529411764706,40.8314606741573,41.04347826086956,51.71641791044777
2016-12-18,37.40963855421687,59.705882352941174,32.84269662921348,34.08695652173913,40.43283582089553
2016-12-25,32.42168674698795,52.88235294117647,27.51685393258427,29.217391304347824,32.91044776119403
2017-01-01,54.867469879518076,76.76470588235294,50.59550561797752,41.04347826086956,60.17910447761194
2017-01-08,57.36144578313253,83.58823529411764,55.92134831460674,44.52173913043478,72.40298507462687
2017-01-15,58.19277108433735,85.29411764705883,51.483146067415724,45.91304347826087,70.5223880597015
2017-01-22,58.19277108433735,87.0,51.483146067415724,45.21739130434783,71.46268656716418
2017-01-29,56.53012048192771,83.58823529411764,48.82022471910112,50.086956521739125,71.46268656716418
2017-02-05,59.855421686746986,81.88235294117646,47.93258426966292,41.73913043478261,73.34328358208955
2017-02-12,59.02409638554217,90.41176470588235,49.70786516853932,42.43478260869565,72.40298507462687
2017-02-19,56.53012048192771,83.58823529411764,45.26966292134831,43.826086956521735,71.46268656716418
2017-02-26,55.69879518072289,88.70588235294117,44.38202247191011,45.91304347826087,59.23880597014926
2017-03-05,59.855421686746986,87.0,44.38202247191011,38.95652173913044,61.11940298507463
2017-03-12,57.36144578313253,90.41176470588235,43.49438202247191,39.65217391304348,61.11940298507463
2017-03-19,64.8433734939759,92.11764705882352,45.26966292134831,38.95652173913044,58.29850746268657
2017-03-26,56.53012048192771,90.41176470588235,41.7191011235955,43.130434782608695,55.47761194029851
2017-04-02,56.53012048192771,78.47058823529412,41.7191011235955,41.73913043478261,55.47761194029851
2017-04-09,49.04819277108434,83.58823529411764,35.50561797752809,33.391304347826086,48.8955223880597
2017-04-16,51.54216867469879,78.47058823529412,35.50561797752809,33.391304347826086,48.8955223880597
2017-04-23,54.867469879518076,78.47058823529412,40.8314606741573,41.04347826086956,55.47761194029851
2017-04-30,51.54216867469879,75.05882352941177,39.9438202247191,37.565217391304344,52.65671641791045
2017-05-07,54.867469879518076,85.29411764705883,43.49438202247191,47.30434782608695,61.11940298507463
2017-05-14,53.204819277108435,85.29411764705883,42.6067415730337,41.73913043478261,60.17910447761194
2017-05-21,45.72289156626506,80.17647058823529,33.73033707865169,36.869565217391305,51.71641791044777
2017-05-28,52.373493975903614,78.47058823529412,38.168539325842694,46.608695652173914,58.29850746268657
2017-06-04,50.71084337349398,80.17647058823529,39.056179775280896,41.73913043478261,60.17910447761194
2017-06-11,49.87951807228916,88.70588235294117,37.28089887640449,44.52173913043478,61.11940298507463
2017-06-18,52.373493975903614,80.17647058823529,45.26966292134831,45.91304347826087,60.17910447761194
2017-06-25,53.204819277108435,83.58823529411764,43.49438202247191,48.69565217391304,69.58208955223881
2017-07-02,54.036144578313255,85.29411764705883,43.49438202247191,44.52173913043478,76.16417910447761
2017-07-09,55.69879518072289,85.29411764705883,43.49438202247191,44.52173913043478,93.08955223880598
2017-07-16,55.69879518072289,80.17647058823529,41.7191011235955,37.565217391304344,61.11940298507463
2017-07-23,59.855421686746986,81.88235294117646,45.26966292134831,42.43478260869565,63.0
