,stepstone_W12,indeed_W12,jobbörse_W12,arbeitsamt_W12,bewerbung_W12,stepstone_W34prev,indeed_W34prev,jobbörse_W34prev,arbeitsamt_W34prev,bewerbung_W34prev,Unemp,month
2013-11-30,85.0,50.0,83.0,61.5,69.5,81.0,47.5,82.0,65.5,66.5,6.5,11
2013-12-31,70.0,44.0,69.0,48.5,60.0,77.5,48.0,75.5,52.0,66.5,6.7,12
2014-01-31,82.5,54.0,88.0,64.0,81.5,53.666666666666664,34.666666666666664,51.333333333333336,37.333333333333336,43.333333333333336,7.3,1
2014-02-28,81.5,59.5,83.0,60.5,78.5,83.0,55.0,84.0,65.0,74.5,7.3,2
2014-03-31,81.5,61.5,86.5,70.5,69.5,86.0,59.0,83.0,73.5,75.5,7.1,3
2014-04-30,89.0,64.0,90.0,54.0,67.0,87.66666666666667,61.333333333333336,87.0,67.66666666666667,68.0,6.8,4
2014-05-31,82.0,61.5,82.0,56.5,71.5,78.33333333333333,57.666666666666664,69.33333333333333,46.0,59.333333333333336,6.6,5
2014-06-30,78.5,57.5,72.0,50.0,67.0,77.0,59.0,76.0,50.0,66.5,6.5,6
2014-07-31,79.0,61.5,74.5,60.0,85.5,81.0,60.333333333333336,74.33333333333333,60.0,75.33333333333333,6.6,7
2014-08-31,86.5,64.5,79.5,50.5,69.5,80.5,63.5,78.0,61.0,70.0,6.7,8
2014-09-30,80.0,63.0,76.0,48.0,71.0,89.66666666666667,64.66666666666667,78.66666666666667,54.333333333333336,69.66666666666667,6.5,9
2014-10-31,79.5,67.0,80.5,53.5,68.0,78.66666666666667,64.33333333333333,79.0,55.333333333333336,71.0,6.3,10
2014-11-30,75.0,81.0,76.0,49.0,65.0,83.0,68.0,76.5,52.0,67.5,6.3,11
2014-12-31,71.0,87.0,69.0,35.0,55.0,75.33333333333333,85.0,69.66666666666667,43.666666666666664,60.666666666666664,6.4,12
2015-01-31,80.0,79.5,84.5,51.5,79.5,47.666666666666664,57.666666666666664,51.0,31.0,39.666666666666664,7.0,1
2015-02-28,81.5,98.0,83.0,46.5,75.0,79.0,95.0,83.5,49.0,79.5,6.9,2
2015-03-31,81.5,91.0,83.0,67.0,69.0,81.5,91.5,85.0,66.5,74.5,6.8,3
2015-04-30,74.0,85.0,72.0,51.0,58.5,75.0,84.66666666666667,76.0,63.0,61.0,6.5,4
