series,transform,reg,adf_stat,pvalue,used_lag,nobs_eff,nobs_raw,crit_1pct,crit_5pct,crit_10pct,reject_1pct,reject_5pct,reject_10pct
arbeitsamt_W12,level,n,-2.5211478144482236,0.011311968137940992,11,128,140,-2.5834285620117186,-1.9432889325141907,-1.6148985549163817,False,True,True
arbeitsamt_W12,level,c,-0.8870231851023466,0.7922158254377812,11,128,140,-3.4825006939887997,-2.884397984161377,-2.578960197753906,False,False,False
arbeitsamt_W12,level,ct,-1.7611215905426738,0.7231962678217041,11,128,140,-4.0312964212608335,-3.445363149681091,-3.147500234603882,False,False,False
arbeitsamt_W12,diff1,n,-5.5334340969880875,8.951317884991341e-08,10,128,139,-2.5834285620117186,-1.9432889325141907,-1.6148985549163817,True,True,True
arbeitsamt_W12,diff1,c,-6.08303036134812,1.0807371446225801e-07,10,128,139,-3.4825006939887997,-2.884397984161377,-2.578960197753906,True,True,True
arbeitsamt_W12,diff1,ct,-6.0500953314516135,1.722877181207012e-06,10,128,139,-4.0312964212608335,-3.445363149681091,-3.147500234603882,True,True,True
bewerbung_W12,level,n,-2.6998800887657297,0.006743636574224123,12,127,140,-2.5835695988591976,-1.9433083482922873,-1.6148845473038977,True,True,True
bewerbung_W12,level,c,0.6630840612467851,0.9890716094931779,12,127,140,-3.482920063655088,-2.884580323367261,-2.5790575441750883,False,False,False
bewerbung_W12,level,ct,-2.0717818095016827,0.5618575059405212,12,127,140,-4.031882284616695,-3.44564246299154,-3.147663331295954,False,False,False
bewerbung_W12,diff1,n,-3.4874686960123786,0.0005060198655637029,12,126,139,-2.583712902494331,-1.9433280926185879,-1.6148703337372574,True,True,True
bewerbung_W12,diff1,c,-5.52739023358376,1.8197067637894436e-06,11,127,139,-3.482920063655088,-2.884580323367261,-2.5790575441750883,True,True,True
bewerbung_W12,diff1,ct,-5.703442659085664,9.012280980483312e-06,11,127,139,-4.031882284616695,-3.44564246299154,-3.147663331295954,True,True,True
stepstone_W34prev,level,n,-1.3080686264449963,0.17641208357964927,12,127,140,-2.5835695988591976,-1.9433083482922873,-1.6148845473038977,False,False,False
stepstone_W34prev,level,c,-1.4172142959679028,0.5739961136273778,13,126,140,-3.4833462346078936,-2.8847655969877666,-2.5791564575459813,False,False,False
stepstone_W34prev,level,ct,-2.4307823466223977,0.36338619602143646,13,126,140,-4.032477692253856,-3.4459262881778225,-3.1478290513383484,False,False,False
stepstone_W34prev,diff1,n,-4.013560070763199,6.945038139750812e-05,11,127,139,-2.5835695988591976,-1.9433083482922873,-1.6148845473038977,True,True,True
stepstone_W34prev,diff1,c,-4.148708665044971,0.0008037534468735681,11,127,139,-3.482920063655088,-2.884580323367261,-2.5790575441750883,True,True,True
stepstone_W34prev,diff1,ct,-4.108776018616564,0.006122461322074386,11,127,139,-4.031882284616695,-3.44564246299154,-3.147663331295954,True,True,True
indeed_W34prev,level,n,0.2934418440042504,0.7730847117574309,13,126,140,-2.583712902494331,-1.9433280926185879,-1.6148703337372574,False,False,False
